WP, 13, 1953082606,   , BEST,   0, 128N, 1382E,  30
WP, 13, 1953082612,   , BEST,   0, 128N, 1375E,  35
WP, 13, 1953082618,   , BEST,   0, 130N, 1365E,  35
WP, 13, 1953082700,   , BEST,   0, 130N, 1358E,  40
WP, 13, 1953082706,   , BEST,   0, 130N, 1350E,  40
WP, 13, 1953082712,   , BEST,   0, 128N, 1348E,  45
WP, 13, 1953082718,   , BEST,   0, 129N, 1343E,  45
WP, 13, 1953082800,   , BEST,   0, 125N, 1332E,  50
WP, 13, 1953082806,   , BEST,   0, 122N, 1322E,  50
WP, 13, 1953082812,   , BEST,   0, 122N, 1315E,  55
WP, 13, 1953082818,   , BEST,   0, 125N, 1312E,  55
WP, 13, 1953082900,   , BEST,   0, 122N, 1302E,  55
WP, 13, 1953082906,   , BEST,   0, 123N, 1293E,  45
WP, 13, 1953082912,   , BEST,   0, 130N, 1290E,  40
