WP, 33, 1965111400,   , BEST,   0,  81N, 1681E,  30
WP, 33, 1965111406,   , BEST,   0,  84N, 1678E,  35
WP, 33, 1965111412,   , BEST,   0,  86N, 1676E,  40
WP, 33, 1965111418,   , BEST,   0,  88N, 1673E,  40
WP, 33, 1965111500,   , BEST,   0,  91N, 1668E,  45
WP, 33, 1965111506,   , BEST,   0,  92N, 1662E,  40
WP, 33, 1965111512,   , BEST,   0,  92N, 1655E,  35
WP, 33, 1965111518,   , BEST,   0,  94N, 1649E,  35
WP, 33, 1965111600,   , BEST,   0,  95N, 1642E,  35
WP, 33, 1965111606,   , BEST,   0,  96N, 1635E,  40
WP, 33, 1965111612,   , BEST,   0,  95N, 1628E,  40
WP, 33, 1965111618,   , BEST,   0,  94N, 1620E,  40
WP, 33, 1965111700,   , BEST,   0,  94N, 1613E,  40
WP, 33, 1965111706,   , BEST,   0,  94N, 1601E,  40
WP, 33, 1965111712,   , BEST,   0,  94N, 1589E,  40
WP, 33, 1965111718,   , BEST,   0,  92N, 1577E,  40
WP, 33, 1965111800,   , BEST,   0,  92N, 1565E,  35
WP, 33, 1965111806,   , BEST,   0,  95N, 1554E,  35
WP, 33, 1965111812,   , BEST,   0,  98N, 1543E,  35
WP, 33, 1965111818,   , BEST,   0, 101N, 1534E,  40
WP, 33, 1965111900,   , BEST,   0, 101N, 1524E,  50
WP, 33, 1965111906,   , BEST,   0, 101N, 1509E,  45
WP, 33, 1965111912,   , BEST,   0, 102N, 1492E,  45
