WP, 07, 2000071018,   , BEST,   0,  95N, 1314E,  20,    0, TD
WP, 07, 2000071100,   , BEST,   0,  99N, 1307E,  20,    0, TD
WP, 07, 2000071106,   , BEST,   0, 110N, 1300E,  20,    0, TD
WP, 07, 2000071112,   , BEST,   0, 121N, 1286E,  25,    0, TD
WP, 07, 2000071118,   , BEST,   0, 131N, 1286E,  25,    0, TD
WP, 07, 2000071200,   , BEST,   0, 137N, 1283E,  25,    0, TD
WP, 07, 2000071206,   , BEST,   0, 142N, 1277E,  25,    0, TD
WP, 07, 2000071212,   , BEST,   0, 147N, 1267E,  25,    0, TD
WP, 07, 2000071218,   , BEST,   0, 151N, 1255E,  25,    0, TD
WP, 07, 2000071300,   , BEST,   0, 157N, 1240E,  25,    0, TD
WP, 07, 2000071306,   , BEST,   0, 157N, 1234E,  25,    0, TD
WP, 07, 2000071312,   , BEST,   0, 156N, 1229E,  25,    0, TD
WP, 07, 2000071318,   , BEST,   0, 156N, 1224E,  25,    0, TD
WP, 07, 2000071400,   , BEST,   0, 155N, 1218E,  25,    0, TD
WP, 07, 2000071406,   , BEST,   0, 156N, 1212E,  25,    0, TD
WP, 07, 2000071412,   , BEST,   0, 159N, 1202E,  25,    0, TD
WP, 07, 2000071418,   , BEST,   0, 168N, 1189E,  25,    0, TD
WP, 07, 2000071500,   , BEST,   0, 176N, 1176E,  20,    0, TD
