WP, 08, 2000071406,   , BEST,   0, 160N, 1163E,  20,    0, TD
WP, 08, 2000071412,   , BEST,   0, 161N, 1157E,  20,    0, TD
WP, 08, 2000071418,   , BEST,   0, 162N, 1152E,  25,    0, TD
WP, 08, 2000071500,   , BEST,   0, 164N, 1147E,  25,    0, TD
WP, 08, 2000071506,   , BEST,   0, 166N, 1142E,  25,    0, TD
WP, 08, 2000071512,   , BEST,   0, 169N, 1139E,  25,    0, TD
WP, 08, 2000071518,   , BEST,   0, 177N, 1137E,  25,    0, TD
WP, 08, 2000071600,   , BEST,   0, 184N, 1135E,  25,    0, TD
WP, 08, 2000071606,   , BEST,   0, 190N, 1134E,  25,    0, TD
WP, 08, 2000071612,   , BEST,   0, 198N, 1130E,  25,    0, TD
WP, 08, 2000071618,   , BEST,   0, 206N, 1124E,  25,    0, TD
WP, 08, 2000071700,   , BEST,   0, 211N, 1120E,  25,    0, TD
WP, 08, 2000071706,   , BEST,   0, 219N, 1120E,  25,    0, TD
WP, 08, 2000071712,   , BEST,   0, 226N, 1122E,  25,    0, TD
