WP, 11, 2005081800,   , BEST,   0, 204N, 1439E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
WP, 11, 2005081806,   , BEST,   0, 203N, 1436E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 
WP, 11, 2005081812,   , BEST,   0, 203N, 1433E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 
WP, 11, 2005081818,   , BEST,   0, 205N, 1431E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 
WP, 11, 2005081900,   , BEST,   0, 206N, 1429E,  25, 1002, DB,   0,    ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 11, 2005081906,   , BEST,   0, 208N, 1428E,  35,  997, TS,   0,    ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 11, 2005081912,   , BEST,   0, 207N, 1426E,  40,  994, TS,   0,    ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 11, 2005081918,   , BEST,   0, 207N, 1424E,  45,  991, TS,  34, NEQ,   35,   35,   35,   35, 1008,  160,  25,   0,   0,   W,   0,    ,   0,   0,     NONAME, M, 
WP, 11, 2005082000,   , BEST,   0, 209N, 1421E,  45,  991, TS,  34, NEQ,   35,   35,   35,   35, 1008,  160,  25,   0,   0,   W,   0,    ,   0,   0,      MAWAR, M, 
WP, 11, 2005082006,   , BEST,   0, 211N, 1418E,  50,  987, TS,  34, NEQ,   75,   75,   75,   50, 1008,  112,  25,   0,   0,   W,   0,    ,   0,   0,      MAWAR, M, 
WP, 11, 2005082012,   , BEST,   0, 213N, 1415E,  55,  984, TS,  34, NEQ,   90,   75,   60,   80, 1007,  135,  20,   0,   0,   W,   0,    ,   0,   0,      MAWAR, M, 
WP, 11, 2005082012,   , BEST,   0, 213N, 1415E,  55,  984, TS,  50, NEQ,   20,   20,   20,   20, 1007,  135,  20,   0,   0,   W,   0,    ,   0,   0,      MAWAR, M, 
WP, 11, 2005082018,   , BEST,   0, 216N, 1411E,  60,  980, TS,  34, NEQ,   80,   80,   80,   80, 1007,  120,  15,   0,   0,   W,   0,    ,   0,   0,      MAWAR, M, 
WP, 11, 2005082018,   , BEST,   0, 216N, 1411E,  60,  980, TS,  50, NEQ,   20,   20,   20,   20, 1007,  120,  15,   0,   0,   W,   0,    ,   0,   0,      MAWAR, M, 
WP, 11, 2005082100,   , BEST,   0, 220N, 1408E,  80,  963, TY,  34, NEQ,  100,  100,   90,   90, 1007,  135,   5,   0,  10,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082100,   , BEST,   0, 220N, 1408E,  80,  963, TY,  50, NEQ,   30,   30,   30,   30, 1007,  135,   5,   0,  10,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082100,   , BEST,   0, 220N, 1408E,  80,  963, TY,  64, NEQ,   15,   15,   15,   15, 1007,  135,   5,   0,  10,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082106,   , BEST,   0, 223N, 1404E, 100,  944, TY,  34, NEQ,  110,  120,  110,  110, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082106,   , BEST,   0, 223N, 1404E, 100,  944, TY,  50, NEQ,   40,   45,   40,   40, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082106,   , BEST,   0, 223N, 1404E, 100,  944, TY,  64, NEQ,   20,   25,   20,   20, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082112,   , BEST,   0, 227N, 1401E, 120,  922, TY,  34, NEQ,  120,  120,  110,  110, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082112,   , BEST,   0, 227N, 1401E, 120,  922, TY,  50, NEQ,   50,   50,   50,   50, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082112,   , BEST,   0, 227N, 1401E, 120,  922, TY,  64, NEQ,   30,   30,   30,   30, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082118,   , BEST,   0, 231N, 1397E, 125,  916, TY,  34, NEQ,  120,  120,  110,  110, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082118,   , BEST,   0, 231N, 1397E, 125,  916, TY,  50, NEQ,   60,   60,   50,   50, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082118,   , BEST,   0, 231N, 1397E, 125,  916, TY,  64, NEQ,   30,   30,   30,   30, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082200,   , BEST,   0, 234N, 1394E, 125,  916, TY,  34, NEQ,  120,  120,  110,  110, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082200,   , BEST,   0, 234N, 1394E, 125,  916, TY,  50, NEQ,   60,   60,   50,   50, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082200,   , BEST,   0, 234N, 1394E, 125,  916, TY,  64, NEQ,   30,   30,   30,   30, 1006,  200,  10,   0,  15,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082206,   , BEST,   0, 238N, 1391E, 125,  916, TY,  34, NEQ,  120,  120,  110,  110, 1006,  200,  10,   0,   0,   W,   0,    ,   0,   0,      MAWAR, D, 
WP, 11, 2005082206,   , BEST,   0, 238N, 1391E, 125,  916, TY,  50, NEQ,   60,   60,   50,   50, 1006,  200,  10,   0,   0,   W,   0,    ,   0,   0,      MAWAR, D, 
