WP, 14, 2005082818,   , BEST,   0, 151N, 1548E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
WP, 14, 2005082900,   , BEST,   0, 150N, 1540E,  25, 1002, DB,   0,    ,    0,    0,    0,    0, 1006,  160,  50,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 14, 2005082906,   , BEST,   0, 151N, 1532E,  25, 1002, TD,   0,    ,    0,    0,    0,    0, 1006,  160,  50,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 14, 2005082912,   , BEST,   0, 151N, 1523E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  180,  45,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 14, 2005082918,   , BEST,   0, 151N, 1512E,  35,  997, TS,  34, NEQ,   30,   40,   40,   30, 1004,  190,  20,   0,   0,   W,   0,    ,   0,   0,       NABI, M, 
WP, 14, 2005083000,   , BEST,   0, 150N, 1501E,  45,  991, TS,  34, NEQ,   80,   60,   50,   70, 1002,  190,  25,   0,   0,   W,   0,    ,   0,   0,       NABI, M, 
WP, 14, 2005083006,   , BEST,   0, 149N, 1490E,  55,  984, TS,  34, NEQ,   70,   70,   70,   70, 1002,  190,  15,   0,   0,   W,   0,    ,   0,   0,       NABI, M, 
WP, 14, 2005083006,   , BEST,   0, 149N, 1490E,  55,  984, TS,  50, NEQ,   20,   20,   20,   20, 1002,  190,  15,   0,   0,   W,   0,    ,   0,   0,       NABI, M, 
WP, 14, 2005083012,   , BEST,   0, 150N, 1480E,  65,  976, TY,  34, NEQ,  100,   85,   70,   75, 1000,  200,  10,   0,   0,   W,   0,    ,   0,   0,       NABI, M, 
WP, 14, 2005083012,   , BEST,   0, 150N, 1480E,  65,  976, TY,  50, NEQ,   20,   20,   20,   20, 1000,  200,  10,   0,   0,   W,   0,    ,   0,   0,       NABI, M, 
WP, 14, 2005083018,   , BEST,   0, 152N, 1471E,  75,  967, TY,  34, NEQ,  100,  110,  110,   90, 1003,  250,  10,   0,   0,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083018,   , BEST,   0, 152N, 1471E,  75,  967, TY,  50, NEQ,   30,   30,   30,   30, 1003,  250,  10,   0,   0,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083018,   , BEST,   0, 152N, 1471E,  75,  967, TY,  64, NEQ,   10,   10,   10,   10, 1003,  250,  10,   0,   0,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083100,   , BEST,   0, 155N, 1462E,  90,  954, TY,  34, NEQ,  115,  115,  130,  110, 1003,  260,  10,   0,  15,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083100,   , BEST,   0, 155N, 1462E,  90,  954, TY,  50, NEQ,   45,   50,   45,   45, 1003,  260,  10,   0,  15,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083100,   , BEST,   0, 155N, 1462E,  90,  954, TY,  64, NEQ,   25,   25,   25,   25, 1003,  260,  10,   0,  15,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083106,   , BEST,   0, 161N, 1450E,  90,  954, TY,  34, NEQ,  120,  130,  130,  120, 1000,  210,   5,   0,  10,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083106,   , BEST,   0, 161N, 1450E,  90,  954, TY,  50, NEQ,   45,   50,   50,   45, 1000,  210,   5,   0,  10,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083106,   , BEST,   0, 161N, 1450E,  90,  954, TY,  64, NEQ,   25,   25,   25,   25, 1000,  210,   5,   0,  10,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083112,   , BEST,   0, 166N, 1437E, 105,  938, TY,  34, NEQ,  135,  135,  135,  125, 1000,  210,   5,   0,  10,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083112,   , BEST,   0, 166N, 1437E, 105,  938, TY,  50, NEQ,   50,   50,   50,   45, 1000,  210,   5,   0,  10,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083112,   , BEST,   0, 166N, 1437E, 105,  938, TY,  64, NEQ,   25,   25,   25,   25, 1000,  210,   5,   0,  10,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083118,   , BEST,   0, 169N, 1425E, 105,  938, TY,  34, NEQ,  150,  160,  160,  150, 1000,  220,  10,   0,  15,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083118,   , BEST,   0, 169N, 1425E, 105,  938, TY,  50, NEQ,   60,   60,   60,   60, 1000,  220,  10,   0,  15,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005083118,   , BEST,   0, 169N, 1425E, 105,  938, TY,  64, NEQ,   25,   25,   25,   25, 1000,  220,  10,   0,  15,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090100,   , BEST,   0, 174N, 1415E, 110,  933, TY,  34, NEQ,  190,  200,  200,  180, 1000,  240,  10,   0,  10,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090100,   , BEST,   0, 174N, 1415E, 110,  933, TY,  50, NEQ,   90,  100,   90,   90, 1000,  240,  10,   0,  10,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090100,   , BEST,   0, 174N, 1415E, 110,  933, TY,  64, NEQ,   25,   25,   25,   25, 1000,  240,  10,   0,  10,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090106,   , BEST,   0, 178N, 1404E, 120,  922, TY,  34, NEQ,  200,  200,  200,  200, 1000,  240,  15,   0,  25,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090106,   , BEST,   0, 178N, 1404E, 120,  922, TY,  50, NEQ,  100,  100,  100,  100, 1000,  240,  15,   0,  25,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090106,   , BEST,   0, 178N, 1404E, 120,  922, TY,  64, NEQ,   40,   40,   40,   40, 1000,  240,  15,   0,  25,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090112,   , BEST,   0, 184N, 1395E, 130,  910, ST,  34, NEQ,  185,  200,  200,  185, 1000,  240,  20,   0,  40,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090112,   , BEST,   0, 184N, 1395E, 130,  910, ST,  50, NEQ,   90,   90,   90,   90, 1000,  240,  20,   0,  40,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090112,   , BEST,   0, 184N, 1395E, 130,  910, ST,  64, NEQ,   40,   40,   40,   40, 1000,  240,  20,   0,  40,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090118,   , BEST,   0, 188N, 1385E, 140,  898, ST,  34, NEQ,  200,  210,  210,  200, 1000,  260,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090118,   , BEST,   0, 188N, 1385E, 140,  898, ST,  50, NEQ,  100,  100,  100,  100, 1000,  260,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090118,   , BEST,   0, 188N, 1385E, 140,  898, ST,  64, NEQ,   45,   45,   45,   45, 1000,  260,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090200,   , BEST,   0, 192N, 1375E, 140,  898, ST,  34, NEQ,  200,  210,  210,  200, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090200,   , BEST,   0, 192N, 1375E, 140,  898, ST,  50, NEQ,  100,  100,  100,  100, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090200,   , BEST,   0, 192N, 1375E, 140,  898, ST,  64, NEQ,   45,   45,   45,   45, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090206,   , BEST,   0, 197N, 1366E, 140,  898, ST,  34, NEQ,  200,  210,  210,  200, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090206,   , BEST,   0, 197N, 1366E, 140,  898, ST,  50, NEQ,  100,  100,  100,  100, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090206,   , BEST,   0, 197N, 1366E, 140,  898, ST,  64, NEQ,   45,   45,   45,   45, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090212,   , BEST,   0, 202N, 1359E, 130,  910, ST,  34, NEQ,  180,  200,  200,  180, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090212,   , BEST,   0, 202N, 1359E, 130,  910, ST,  50, NEQ,   85,  100,  100,   85, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090212,   , BEST,   0, 202N, 1359E, 130,  910, ST,  64, NEQ,   45,   45,   45,   45, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090218,   , BEST,   0, 207N, 1352E, 130,  910, ST,  34, NEQ,  190,  215,  215,  190, 1000,  270,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090218,   , BEST,   0, 207N, 1352E, 130,  910, ST,  50, NEQ,   90,  105,  105,   90, 1000,  270,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090218,   , BEST,   0, 207N, 1352E, 130,  910, ST,  64, NEQ,   45,   45,   45,   45, 1000,  270,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090300,   , BEST,   0, 215N, 1345E, 130,  910, ST,  34, NEQ,  210,  230,  200,  190, 1000,  280,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090300,   , BEST,   0, 215N, 1345E, 130,  910, ST,  50, NEQ,  110,  125,  100,  100, 1000,  280,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090300,   , BEST,   0, 215N, 1345E, 130,  910, ST,  64, NEQ,   55,   55,   55,   55, 1000,  280,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090306,   , BEST,   0, 225N, 1339E, 120,  922, TY,  34, NEQ,  205,  225,  205,  185, 1000,  280,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090306,   , BEST,   0, 225N, 1339E, 120,  922, TY,  50, NEQ,  105,  120,  105,   95, 1000,  280,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090306,   , BEST,   0, 225N, 1339E, 120,  922, TY,  64, NEQ,   55,   55,   55,   55, 1000,  280,  30,   0,  50,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090312,   , BEST,   0, 233N, 1332E, 115,  927, TY,  34, NEQ,  225,  225,  195,  185, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090312,   , BEST,   0, 233N, 1332E, 115,  927, TY,  50, NEQ,  105,  105,   95,   85, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090312,   , BEST,   0, 233N, 1332E, 115,  927, TY,  64, NEQ,   50,   50,   50,   50, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090318,   , BEST,   0, 241N, 1325E, 105,  938, TY,  34, NEQ,  225,  240,  190,  190, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090318,   , BEST,   0, 241N, 1325E, 105,  938, TY,  50, NEQ,  110,  110,   90,   80, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090318,   , BEST,   0, 241N, 1325E, 105,  938, TY,  64, NEQ,   55,   55,   45,   45, 1000,  270,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090400,   , BEST,   0, 250N, 1321E, 105,  938, TY,  34, NEQ,  235,  235,  210,  210, 1000,  280,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090400,   , BEST,   0, 250N, 1321E, 105,  938, TY,  50, NEQ,  110,  130,  100,  110, 1000,  280,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090400,   , BEST,   0, 250N, 1321E, 105,  938, TY,  64, NEQ,   55,   55,   55,   55, 1000,  280,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090406,   , BEST,   0, 260N, 1316E, 105,  938, TY,  34, NEQ,  225,  225,  200,  200, 1000,  280,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090406,   , BEST,   0, 260N, 1316E, 105,  938, TY,  50, NEQ,  120,  120,  100,  100, 1000,  280,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090406,   , BEST,   0, 260N, 1316E, 105,  938, TY,  64, NEQ,   55,   55,   45,   45, 1000,  280,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090412,   , BEST,   0, 267N, 1311E, 105,  938, TY,  34, NEQ,  225,  200,  200,  200, 1000,  280,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090412,   , BEST,   0, 267N, 1311E, 105,  938, TY,  50, NEQ,  120,  110,  100,  100, 1000,  280,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090412,   , BEST,   0, 267N, 1311E, 105,  938, TY,  64, NEQ,   55,   50,   45,   45, 1000,  280,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090418,   , BEST,   0, 273N, 1309E, 105,  938, TY,  34, NEQ,  235,  210,  210,  210, 1000,  300,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090418,   , BEST,   0, 273N, 1309E, 105,  938, TY,  50, NEQ,  120,  110,  100,  100, 1000,  300,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090418,   , BEST,   0, 273N, 1309E, 105,  938, TY,  64, NEQ,   55,   50,   45,   45, 1000,  300,  25,   0,  45,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090500,   , BEST,   0, 279N, 1308E, 105,  938, TY,  34, NEQ,  225,  210,  180,  180, 1000,  300,  45,   0,  80,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090500,   , BEST,   0, 279N, 1308E, 105,  938, TY,  50, NEQ,  110,  110,  100,  100, 1000,  300,  45,   0,  80,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090500,   , BEST,   0, 279N, 1308E, 105,  938, TY,  64, NEQ,   75,   70,   60,   60, 1000,  300,  45,   0,  80,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090506,   , BEST,   0, 287N, 1305E, 115,  927, TY,  34, NEQ,  210,  185,  190,  160, 1000,  280,  45,   0,  80,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090506,   , BEST,   0, 287N, 1305E, 115,  927, TY,  50, NEQ,  100,  100,  100,  100, 1000,  280,  45,   0,  80,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090506,   , BEST,   0, 287N, 1305E, 115,  927, TY,  64, NEQ,   50,   50,   50,   60, 1000,  280,  45,   0,  80,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090512,   , BEST,   0, 295N, 1303E, 115,  927, TY,  34, NEQ,  190,  180,  200,  200, 1000,  270,  45,   0,  80,   W,   0,    ,   0,   0,       NABI, D, 
WP, 14, 2005090512,   , BEST,   0, 295N, 1303E, 115,  927, TY,  50, NEQ,  100,  100,  100,  100, 1000,  270,  45,   0,  80,   W,   0,    ,   0,   0,       NABI, D, 
