WP, 21, 2005101000,   , BEST,   0, 229N, 1344E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 1006,  120,  25,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 21, 2005101006,   , BEST,   0, 226N, 1339E,  25, 1002, TD,   0,    ,    0,    0,    0,    0, 1004,  130,  15,   0,   0,   W,   0,    ,   0,   0,     KIROGI, M, 
WP, 21, 2005101012,   , BEST,   0, 221N, 1335E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1006,  120,  25,   0,   0,   W,   0,    ,   0,   0,     KIROGI, S, 
WP, 21, 2005101018,   , BEST,   0, 217N, 1332E,  35,  997, TS,   0,    ,    0,    0,    0,    0, 1006,  135,  25,   0,   0,   W,   0,    ,   0,   0,     KIROGI, S, 
WP, 21, 2005101100,   , BEST,   0, 213N, 1332E,  50,  987, TS,  34, NEQ,   50,   50,   45,   45, 1004,  130,  15,   0,   0,   W,   0,    ,   0,   0,     KIROGI, S, 
WP, 21, 2005101106,   , BEST,   0, 210N, 1331E,  65,  976, TY,  34, NEQ,   60,   60,   55,   55, 1004,  130,  15,   0,   0,   W,   0,    ,   0,   0,     KIROGI, S, 
WP, 21, 2005101106,   , BEST,   0, 210N, 1331E,  65,  976, TY,  50, NEQ,   25,   25,   20,   20, 1004,  130,  15,   0,   0,   W,   0,    ,   0,   0,     KIROGI, S, 
WP, 21, 2005101112,   , BEST,   0, 207N, 1330E,  80,  963, TY,  34, NEQ,   70,   90,  130,   90, 1006,  190,  10,   0,  15,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101112,   , BEST,   0, 207N, 1330E,  80,  963, TY,  50, NEQ,   30,   30,   35,   30, 1006,  190,  10,   0,  15,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101112,   , BEST,   0, 207N, 1330E,  80,  963, TY,  64, NEQ,   15,   15,   15,   15, 1006,  190,  10,   0,  15,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101118,   , BEST,   0, 205N, 1327E, 100,  944, TY,  34, NEQ,   95,   95,  115,  115, 1002,  200,  10,   0,  15,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101118,   , BEST,   0, 205N, 1327E, 100,  944, TY,  50, NEQ,   30,   30,   35,   35, 1002,  200,  10,   0,  15,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101118,   , BEST,   0, 205N, 1327E, 100,  944, TY,  64, NEQ,   15,   15,   15,   15, 1002,  200,  10,   0,  15,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101200,   , BEST,   0, 205N, 1324E,  90,  954, TY,  34, NEQ,   90,   75,   75,   90, 1002,  200,  10,   0,  15,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101200,   , BEST,   0, 205N, 1324E,  90,  954, TY,  50, NEQ,   30,   25,   25,   30, 1002,  200,  10,   0,  15,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101200,   , BEST,   0, 205N, 1324E,  90,  954, TY,  64, NEQ,   15,   15,   15,   15, 1002,  200,  10,   0,  15,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101206,   , BEST,   0, 207N, 1322E,  90,  954, TY,  34, NEQ,   80,  115,  115,   90, 1002,  200,  15,   0,  10,   W,   0,    ,   0,   0,     KIROGI, D, 
WP, 21, 2005101206,   , BEST,   0, 207N, 1322E,  90,  954, TY,  50, NEQ,   30,   35,   35,   30, 1002,  200,  15,   0,  10,   W,   0,    ,   0,   0,     KIROGI, D, 
