WP, 10, 2007082812,   , BEST,   0, 198N, 1551E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 
WP, 10, 2007082818,   , BEST,   0, 205N, 1551E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  200,  35,   0,   0,   W,   0,    ,   0,   0,     NONAME, M, 
WP, 10, 2007082900,   , BEST,   0, 211N, 1560E,  45,  989, TS,  34, NEQ,   60,   60,   60,   60, 1008,  210,  30,  45,   0,   W,   0,    ,   0,   0,     NONAME, M, 
WP, 10, 2007082906,   , BEST,   0, 218N, 1561E,  50,  985, TS,  34, NEQ,   50,   55,   55,   35, 1008,  180,  25,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 10, 2007082912,   , BEST,   0, 224N, 1565E,  55,  982, TS,  34, NEQ,   65,   85,   65,   65, 1008,  127,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, M, 
WP, 10, 2007082912,   , BEST,   0, 224N, 1565E,  55,  982, TS,  50, NEQ,   35,   35,   35,   35, 1008,  127,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, M, 
WP, 10, 2007082918,   , BEST,   0, 232N, 1568E,  60,  978, TS,  34, NEQ,   75,   75,   60,   60, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, M, 
WP, 10, 2007082918,   , BEST,   0, 232N, 1568E,  60,  978, TS,  50, NEQ,   40,   40,   35,   35, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, M, 
WP, 10, 2007083000,   , BEST,   0, 240N, 1569E,  65,  974, TY,  34, NEQ,   75,   75,   60,   60, 1005,  180,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, M, 
WP, 10, 2007083000,   , BEST,   0, 240N, 1569E,  65,  974, TY,  50, NEQ,   40,   40,   35,   35, 1005,  180,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, M, 
WP, 10, 2007083006,   , BEST,   0, 246N, 1570E,  65,  974, TY,  34, NEQ,   95,   95,   80,   90, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083006,   , BEST,   0, 246N, 1570E,  65,  974, TY,  50, NEQ,   55,   55,   50,   55, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083012,   , BEST,   0, 256N, 1570E,  70,  970, TY,  34, NEQ,  105,  105,   95,  100, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083012,   , BEST,   0, 256N, 1570E,  70,  970, TY,  50, NEQ,   60,   60,   55,   60, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083012,   , BEST,   0, 256N, 1570E,  70,  970, TY,  64, NEQ,   25,   25,   25,   25, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083018,   , BEST,   0, 262N, 1561E,  75,  967, TY,  34, NEQ,  115,  105,  110,  120, 1005,  220,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083018,   , BEST,   0, 262N, 1561E,  75,  967, TY,  50, NEQ,   65,   60,   60,   65, 1005,  220,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083018,   , BEST,   0, 262N, 1561E,  75,  967, TY,  64, NEQ,   30,   30,   30,   30, 1005,  220,  20,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083100,   , BEST,   0, 266N, 1555E,  80,  963, TY,  34, NEQ,  120,  110,  110,  120, 1003,  220,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083100,   , BEST,   0, 266N, 1555E,  80,  963, TY,  50, NEQ,   65,   60,   60,   65, 1003,  220,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083100,   , BEST,   0, 266N, 1555E,  80,  963, TY,  64, NEQ,   35,   35,   35,   35, 1003,  220,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083106,   , BEST,   0, 270N, 1548E,  80,  963, TY,  34, NEQ,  120,  110,  110,  120, 1003,  220,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083106,   , BEST,   0, 270N, 1548E,  80,  963, TY,  50, NEQ,   65,   60,   60,   65, 1003,  220,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083106,   , BEST,   0, 270N, 1548E,  80,  963, TY,  64, NEQ,   35,   35,   35,   35, 1003,  220,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
WP, 10, 2007083112,   , BEST,   0, 274N, 1540E,  70,  970, TY,  34, NEQ,  115,  105,  105,  115, 1003,  210,  25,   0,   0,   W,   0,    ,   0,   0,      FITOW, D, 
