WP, 17, 2007100112,   , BEST,   0, 172N, 1310E,  25, 1002, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  35,   0,   0,   W,   0,    ,   0,   0,     NONAME, D, 
WP, 17, 2007100118,   , BEST,   0, 169N, 1313E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1004,  160,  45,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 17, 2007100200,   , BEST,   0, 167N, 1314E,  40,  993, TS,  34, NEQ,   55,   60,   60,   60, 1004,  160,  45,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 17, 2007100206,   , BEST,   0, 166N, 1314E,  60,  978, TS,  34, NEQ,   80,   85,   80,   75, 1007,  220,  45,   0,   0,   W,   0,    ,   0,   0,      KROSA, S, 
WP, 17, 2007100206,   , BEST,   0, 166N, 1314E,  60,  978, TS,  50, NEQ,   50,   50,   50,   50, 1007,  220,  45,   0,   0,   W,   0,    ,   0,   0,      KROSA, S, 
WP, 17, 2007100212,   , BEST,   0, 166N, 1312E,  65,  974, TY,  34, NEQ,  135,  120,  135,  125, 1007,  220,  45,   0,   0,   W,   0,    ,   0,   0,      KROSA, M, 
WP, 17, 2007100212,   , BEST,   0, 166N, 1312E,  65,  974, TY,  50, NEQ,   65,   65,   70,   70, 1007,  220,  45,   0,   0,   W,   0,    ,   0,   0,      KROSA, M, 
WP, 17, 2007100218,   , BEST,   0, 167N, 1308E,  75,  967, TY,  34, NEQ,  150,  145,  140,  135, 1006,  230,  35,   0,   0,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100218,   , BEST,   0, 167N, 1308E,  75,  967, TY,  50, NEQ,   80,   80,   80,   80, 1006,  230,  35,   0,   0,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100218,   , BEST,   0, 167N, 1308E,  75,  967, TY,  64, NEQ,   50,   50,   50,   50, 1006,  230,  35,   0,   0,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100300,   , BEST,   0, 169N, 1303E,  80,  963, TY,  34, NEQ,  155,  145,  140,  140, 1006,  240,  30,   0,   0,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100300,   , BEST,   0, 169N, 1303E,  80,  963, TY,  50, NEQ,   80,   80,   80,   80, 1006,  240,  30,   0,   0,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100300,   , BEST,   0, 169N, 1303E,  80,  963, TY,  64, NEQ,   50,   50,   50,   50, 1006,  240,  30,   0,   0,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100306,   , BEST,   0, 173N, 1299E,  90,  956, TY,  34, NEQ,  155,  140,  140,  140, 1006,  245,  40,   0,   0,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100306,   , BEST,   0, 173N, 1299E,  90,  956, TY,  50, NEQ,   80,   80,   80,   80, 1006,  245,  40,   0,   0,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100306,   , BEST,   0, 173N, 1299E,  90,  956, TY,  64, NEQ,   50,   50,   50,   50, 1006,  245,  40,   0,   0,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100312,   , BEST,   0, 177N, 1294E, 100,  948, TY,  34, NEQ,  200,  200,  190,  190, 1006,  300,  20,   0,  25,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100312,   , BEST,   0, 177N, 1294E, 100,  948, TY,  50, NEQ,   80,   75,   70,   80, 1006,  300,  20,   0,  25,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100312,   , BEST,   0, 177N, 1294E, 100,  948, TY,  64, NEQ,   50,   50,   50,   50, 1006,  300,  20,   0,  25,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100318,   , BEST,   0, 182N, 1289E, 115,  937, TY,  34, NEQ,  200,  180,  180,  180, 1006,  290,  20,   0,  40,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100318,   , BEST,   0, 182N, 1289E, 115,  937, TY,  50, NEQ,   90,   80,   80,   80, 1006,  290,  20,   0,  40,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100318,   , BEST,   0, 182N, 1289E, 115,  937, TY,  64, NEQ,   55,   50,   50,   50, 1006,  290,  20,   0,  40,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100400,   , BEST,   0, 186N, 1281E, 120,  933, TY,  34, NEQ,  200,  185,  185,  185, 1006,  290,  15,   0,  30,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100400,   , BEST,   0, 186N, 1281E, 120,  933, TY,  50, NEQ,  100,   95,   95,   95, 1006,  290,  15,   0,  30,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100400,   , BEST,   0, 186N, 1281E, 120,  933, TY,  64, NEQ,   55,   50,   50,   50, 1006,  290,  15,   0,  30,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100406,   , BEST,   0, 192N, 1274E, 120,  933, TY,  34, NEQ,  200,  185,  185,  185, 1006,  290,  35,   0,  30,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100406,   , BEST,   0, 192N, 1274E, 120,  933, TY,  50, NEQ,  105,   90,   95,   95, 1006,  290,  35,   0,  30,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100406,   , BEST,   0, 192N, 1274E, 120,  933, TY,  64, NEQ,   65,   60,   55,   65, 1006,  290,  35,   0,  30,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100412,   , BEST,   0, 198N, 1267E, 120,  933, TY,  34, NEQ,  200,  185,  185,  185, 1006,  290,  35,   0,  35,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100412,   , BEST,   0, 198N, 1267E, 120,  933, TY,  50, NEQ,  105,   90,   95,   95, 1006,  290,  35,   0,  35,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100412,   , BEST,   0, 198N, 1267E, 120,  933, TY,  64, NEQ,   70,   60,   60,   70, 1006,  290,  35,   0,  35,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100418,   , BEST,   0, 202N, 1258E, 125,  929, TY,  34, NEQ,  205,  185,  185,  200, 1005,  290,  25, 150,  40,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100418,   , BEST,   0, 202N, 1258E, 125,  929, TY,  50, NEQ,  105,   90,   95,  105, 1005,  290,  25, 150,  40,   W,   0,    ,   0,   0,      KROSA, D, 
WP, 17, 2007100418,   , BEST,   0, 202N, 1258E, 125,  929, TY,  64, NEQ,   70,   60,   60,   70, 1005,  290,  25, 150,  40,   W,   0,    ,   0,   0,      KROSA, D, 
