"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,179,"PHL","Philippines",1,"Abra","PH.AB",NA,"1401","Lalawigan|Probinsya","Province","",""
2,179,"PHL","Philippines",2,"Agusan del Norte","PH.AN",NA,"1602","Lalawigan|Probinsya","Province","",""
3,179,"PHL","Philippines",3,"Agusan del Sur","PH.AS",NA,"1603","Lalawigan|Probinsya","Province","",""
4,179,"PHL","Philippines",4,"Aklan","PH.AK",NA,"604","Lalawigan|Probinsya","Province","",""
5,179,"PHL","Philippines",5,"Albay","PH.AL",NA,"505","Lalawigan|Probinsya","Province","",""
6,179,"PHL","Philippines",6,"Antique","PH.AQ",NA,"606","Lalawigan|Probinsya","Province","",""
7,179,"PHL","Philippines",7,"Apayao","PH.AP",NA,"1481","Lalawigan|Probinsya","Province","",""
8,179,"PHL","Philippines",8,"Aurora","PH.AU",NA,"377","Lalawigan|Probinsya","Province","",""
9,179,"PHL","Philippines",9,"Basilan","PH.BS",NA,"1507","Lalawigan|Probinsya","Province","",""
10,179,"PHL","Philippines",10,"Bataan","PH.BA",NA,"308","Lalawigan|Probinsya","Province","",""
11,179,"PHL","Philippines",11,"Batanes","PH.BN",NA,"209","Lalawigan|Probinsya","Province","",""
12,179,"PHL","Philippines",12,"Batangas","PH.BT",NA,"410","Lalawigan|Probinsya","Province","",""
13,179,"PHL","Philippines",13,"Benguet","PH.BG",NA,"1411","Lalawigan|Probinsya","Province","",""
14,179,"PHL","Philippines",14,"Biliran","PH.BI",NA,"878","Lalawigan|Probinsya","Province","",""
15,179,"PHL","Philippines",15,"Bohol","PH.BO",NA,"712","Lalawigan|Probinsya","Province","",""
16,179,"PHL","Philippines",16,"Bukidnon","PH.BK",NA,"1013","Lalawigan|Probinsya","Province","",""
17,179,"PHL","Philippines",17,"Bulacan","PH.BU",NA,"314","Lalawigan|Probinsya","Province","",""
18,179,"PHL","Philippines",18,"Cagayan","PH.CG",NA,"215","Lalawigan|Probinsya","Province","",""
19,179,"PHL","Philippines",19,"Camarines Norte","PH.CN",NA,"516","Lalawigan|Probinsya","Province","",""
20,179,"PHL","Philippines",20,"Camarines Sur","PH.CS",NA,"517","Lalawigan|Probinsya","Province","",""
21,179,"PHL","Philippines",21,"Camiguin","PH.CM",NA,"1018","Lalawigan|Probinsya","Province","",""
22,179,"PHL","Philippines",22,"Capiz","PH.CP",NA,"619","Lalawigan|Probinsya","Province","",""
23,179,"PHL","Philippines",23,"Catanduanes","PH.CT",NA,"520","Lalawigan|Probinsya","Province","",""
24,179,"PHL","Philippines",24,"Cavite","PH.CV",NA,"421","Lalawigan|Probinsya","Province","",""
25,179,"PHL","Philippines",25,"Cebu","PH.CB",NA,"722","Lalawigan|Probinsya","Province","",""
26,179,"PHL","Philippines",26,"Compostela Valley","PH.CL",NA,"1182","Lalawigan|Probinsya","Province","",""
27,179,"PHL","Philippines",27,"Davao del Norte","PH.DV",NA,"1123","Lalawigan|Probinsya","Province","","Davao"
28,179,"PHL","Philippines",28,"Davao del Sur","PH.DS",NA,"1124","Lalawigan|Probinsya","Province","",""
29,179,"PHL","Philippines",29,"Davao Oriental","PH.DO",NA,"1125","Lalawigan|Probinsya","Province","",""
30,179,"PHL","Philippines",30,"Dinagat Islands","PH.DI",NA,"1685","Lalawigan|Probinsya","Province","",""
31,179,"PHL","Philippines",31,"Eastern Samar","PH.ES",NA,"826","Lalawigan|Probinsya","Province","",""
32,179,"PHL","Philippines",32,"Guimaras","PH.GU",NA,"679","Lalawigan|Probinsya","Province","",""
33,179,"PHL","Philippines",33,"Ifugao","PH.IF",NA,"1427","Lalawigan|Probinsya","Province","",""
34,179,"PHL","Philippines",34,"Ilocos Norte","PH.IN",NA,"128","Lalawigan|Probinsya","Province","",""
35,179,"PHL","Philippines",35,"Ilocos Sur","PH.IS",NA,"129","Lalawigan|Probinsya","Province","",""
36,179,"PHL","Philippines",36,"Iloilo","PH.II",NA,"630","Lalawigan|Probinsya","Province","",""
37,179,"PHL","Philippines",37,"Isabela","PH.IB",NA,"231","Lalawigan|Probinsya","Province","",""
38,179,"PHL","Philippines",38,"Kalinga","PH.KA",NA,"1432","Lalawigan|Probinsya","Province","",""
39,179,"PHL","Philippines",39,"La Union","PH.LU",NA,"133","Lalawigan|Probinsya","Province","",""
40,179,"PHL","Philippines",40,"Laguna","PH.LG",NA,"434","Lalawigan|Probinsya","Province","",""
41,179,"PHL","Philippines",41,"Lanao del Norte","PH.LN",NA,"1035","Lalawigan|Probinsya","Province","",""
42,179,"PHL","Philippines",42,"Lanao del Sur","PH.LS",NA,"1536","Lalawigan|Probinsya","Province","",""
43,179,"PHL","Philippines",43,"Leyte","PH.LE",NA,"837","Lalawigan|Probinsya","Province","",""
44,179,"PHL","Philippines",44,"Maguindanao","PH.MG",NA,"1538","Lalawigan|Probinsya","Province","",""
45,179,"PHL","Philippines",45,"Marinduque","PH.MQ",NA,"1740","Lalawigan|Probinsya","Province","",""
46,179,"PHL","Philippines",46,"Masbate","PH.MB",NA,"541","Lalawigan|Probinsya","Province","",""
47,179,"PHL","Philippines",47,"Metropolitan Manila","PH.MM",NA,"1339","Lalawigan|Probinsya","Province","",""
48,179,"PHL","Philippines",48,"Misamis Occidental","PH.MD",NA,"1042","Lalawigan|Probinsya","Province","",""
49,179,"PHL","Philippines",49,"Misamis Oriental","PH.MN",NA,"1043","Lalawigan|Probinsya","Province","",""
50,179,"PHL","Philippines",50,"Mountain Province","PH.MT",NA,"1444","Lalawigan|Probinsya","Province","",""
51,179,"PHL","Philippines",51,"Negros Occidental","PH.ND",NA,"645","Lalawigan|Probinsya","Province","",""
52,179,"PHL","Philippines",52,"Negros Oriental","PH.NR",NA,"746","Lalawigan|Probinsya","Province","",""
53,179,"PHL","Philippines",53,"North Cotabato","PH.NC",NA,"1247","Lalawigan|Probinsya","Province","",""
54,179,"PHL","Philippines",54,"Northern Samar","PH.NS",NA,"848","Lalawigan|Probinsya","Province","",""
55,179,"PHL","Philippines",55,"Nueva Ecija","PH.NE",NA,"349","Lalawigan|Probinsya","Province","",""
