WP, 30, 1989101300,   , BEST,   0, 140N, 1370E,  20
WP, 30, 1989101306,   , BEST,   0, 147N, 1361E,  25
WP, 30, 1989101312,   , BEST,   0, 153N, 1350E,  30
WP, 30, 1989101318,   , BEST,   0, 161N, 1337E,  30
WP, 30, 1989101400,   , BEST,   0, 164N, 1322E,  30
WP, 30, 1989101406,   , BEST,   0, 163N, 1318E,  30
WP, 30, 1989101412,   , BEST,   0, 162N, 1316E,  35
WP, 30, 1989101418,   , BEST,   0, 162N, 1314E,  35
WP, 30, 1989101500,   , BEST,   0, 161N, 1312E,  40
WP, 30, 1989101506,   , BEST,   0, 161N, 1309E,  45
WP, 30, 1989101512,   , BEST,   0, 161N, 1308E,  50
WP, 30, 1989101518,   , BEST,   0, 161N, 1307E,  55
WP, 30, 1989101600,   , BEST,   0, 162N, 1306E,  60
WP, 30, 1989101606,   , BEST,   0, 165N, 1303E,  70
WP, 30, 1989101612,   , BEST,   0, 167N, 1300E,  90
WP, 30, 1989101618,   , BEST,   0, 169N, 1294E, 100
WP, 30, 1989101700,   , BEST,   0, 169N, 1288E, 110
WP, 30, 1989101706,   , BEST,   0, 169N, 1281E, 115
WP, 30, 1989101712,   , BEST,   0, 167N, 1275E, 125
WP, 30, 1989101718,   , BEST,   0, 164N, 1269E, 125
WP, 30, 1989101800,   , BEST,   0, 161N, 1264E, 125
WP, 30, 1989101806,   , BEST,   0, 161N, 1257E, 130
WP, 30, 1989101812,   , BEST,   0, 162N, 1249E, 130
WP, 30, 1989101818,   , BEST,   0, 164N, 1241E, 140
WP, 30, 1989101900,   , BEST,   0, 166N, 1229E, 140
WP, 30, 1989101906,   , BEST,   0, 167N, 1215E,  80
WP, 30, 1989101912,   , BEST,   0, 168N, 1199E,  60
WP, 30, 1989101918,   , BEST,   0, 168N, 1184E,  55
WP, 30, 1989102000,   , BEST,   0, 169N, 1171E,  55
WP, 30, 1989102006,   , BEST,   0, 169N, 1160E,  55
WP, 30, 1989102012,   , BEST,   0, 170N, 1148E,  55
WP, 30, 1989102018,   , BEST,   0, 172N, 1137E,  55
WP, 30, 1989102100,   , BEST,   0, 175N, 1125E,  55
WP, 30, 1989102106,   , BEST,   0, 178N, 1114E,  50
WP, 30, 1989102112,   , BEST,   0, 182N, 1099E,  45
WP, 30, 1989102118,   , BEST,   0, 183N, 1085E,  35
WP, 30, 1989102200,   , BEST,   0, 183N, 1072E,  35
WP, 30, 1989102206,   , BEST,   0, 183N, 1059E,  35
WP, 30, 1989102212,   , BEST,   0, 183N, 1045E,  25
