WP, 03, 1993040600,   , BEST,   0,  76N, 1478E,  20
WP, 03, 1993040606,   , BEST,   0,  77N, 1473E,  20
WP, 03, 1993040612,   , BEST,   0,  78N, 1469E,  20
WP, 03, 1993040618,   , BEST,   0,  78N, 1465E,  20
WP, 03, 1993040700,   , BEST,   0,  79N, 1461E,  20
WP, 03, 1993040706,   , BEST,   0,  79N, 1456E,  20
WP, 03, 1993040712,   , BEST,   0,  79N, 1450E,  20
WP, 03, 1993040718,   , BEST,   0,  79N, 1444E,  20
WP, 03, 1993040800,   , BEST,   0,  79N, 1437E,  20
WP, 03, 1993040806,   , BEST,   0,  79N, 1429E,  20
WP, 03, 1993040812,   , BEST,   0,  79N, 1421E,  20
WP, 03, 1993040818,   , BEST,   0,  78N, 1413E,  20
WP, 03, 1993040900,   , BEST,   0,  77N, 1406E,  20
WP, 03, 1993040906,   , BEST,   0,  76N, 1398E,  20
WP, 03, 1993040912,   , BEST,   0,  75N, 1390E,  20
WP, 03, 1993040918,   , BEST,   0,  73N, 1381E,  20
WP, 03, 1993041000,   , BEST,   0,  72N, 1373E,  20
WP, 03, 1993041006,   , BEST,   0,  71N, 1364E,  20
WP, 03, 1993041012,   , BEST,   0,  69N, 1355E,  20
WP, 03, 1993041018,   , BEST,   0,  68N, 1347E,  20
WP, 03, 1993041100,   , BEST,   0,  67N, 1338E,  20
WP, 03, 1993041106,   , BEST,   0,  67N, 1330E,  25
WP, 03, 1993041112,   , BEST,   0,  67N, 1322E,  25
WP, 03, 1993041118,   , BEST,   0,  67N, 1314E,  25
WP, 03, 1993041200,   , BEST,   0,  67N, 1305E,  25
WP, 03, 1993041206,   , BEST,   0,  67N, 1296E,  25
WP, 03, 1993041212,   , BEST,   0,  67N, 1288E,  25
WP, 03, 1993041218,   , BEST,   0,  67N, 1280E,  25
WP, 03, 1993041300,   , BEST,   0,  66N, 1272E,  25
WP, 03, 1993041306,   , BEST,   0,  64N, 1265E,  25
WP, 03, 1993041312,   , BEST,   0,  64N, 1258E,  20
WP, 03, 1993041318,   , BEST,   0,  64N, 1250E,  20
WP, 03, 1993041400,   , BEST,   0,  64N, 1243E,  20
WP, 03, 1993041406,   , BEST,   0,  64N, 1236E,  20
WP, 03, 1993041412,   , BEST,   0,  64N, 1229E,  15
