WP, 10, 1998091418,   , BEST,   0, 194N, 1261E,  20,    0, XX
WP, 10, 1998091500,   , BEST,   0, 196N, 1273E,  25,    0, XX
WP, 10, 1998091506,   , BEST,   0, 199N, 1285E,  30,    0, XX
WP, 10, 1998091512,   , BEST,   0, 201N, 1296E,  35,    0, XX
WP, 10, 1998091518,   , BEST,   0, 203N, 1304E,  40,    0, XX
WP, 10, 1998091600,   , BEST,   0, 206N, 1313E,  45,    0, XX
WP, 10, 1998091606,   , BEST,   0, 209N, 1321E,  50,    0, XX
WP, 10, 1998091612,   , BEST,   0, 213N, 1328E,  65,    0, XX
WP, 10, 1998091618,   , BEST,   0, 217N, 1335E,  90,    0, XX
WP, 10, 1998091700,   , BEST,   0, 223N, 1342E, 120,    0, XX
WP, 10, 1998091706,   , BEST,   0, 233N, 1347E, 130,    0, XX
WP, 10, 1998091712,   , BEST,   0, 246N, 1350E, 120
WP, 10, 1998091718,   , BEST,   0, 265N, 1345E, 100,    0, XX
WP, 10, 1998091800,   , BEST,   0, 289N, 1331E,  80,    0, XX
WP, 10, 1998091806,   , BEST,   0, 298N, 1311E,  70,    0, XX
WP, 10, 1998091812,   , BEST,   0, 303N, 1291E,  65,    0, XX
WP, 10, 1998091818,   , BEST,   0, 304N, 1274E,  65,    0, XX
WP, 10, 1998091900,   , BEST,   0, 302N, 1257E,  60,    0, XX
WP, 10, 1998091906,   , BEST,   0, 300N, 1241E,  55,    0, XX
WP, 10, 1998091912,   , BEST,   0, 298N, 1229E,  55,    0, XX
WP, 10, 1998091918,   , BEST,   0, 298N, 1218E,  40,    0, XX
WP, 10, 1998092000,   , BEST,   0, 295N, 1210E,  35,    0, XX
WP, 10, 1998092006,   , BEST,   0, 291N, 1212E,  30,    0, XX
WP, 10, 1998092012,   , BEST,   0, 294N, 1220E,  30
WP, 10, 1998092018,   , BEST,   0, 302N, 1229E,  25,    0, XX
