WP, 18, 2000081706,   , BEST,   0,  83N, 1392E,  25,    0, TD
WP, 18, 2000081712,   , BEST,   0,  91N, 1391E,  25,    0, TD
WP, 18, 2000081718,   , BEST,   0,  96N, 1391E,  20,    0, TD
WP, 18, 2000081800,   , BEST,   0, 102N, 1388E,  25,    0, TD
WP, 18, 2000081806,   , BEST,   0, 111N, 1383E,  25,    0, TD
WP, 18, 2000081812,   , BEST,   0, 123N, 1377E,  25,    0, TD
WP, 18, 2000081818,   , BEST,   0, 129N, 1370E,  35,    0, TS
WP, 18, 2000081900,   , BEST,   0, 135N, 1361E,  55,    0, TS
WP, 18, 2000081906,   , BEST,   0, 144N, 1354E,  55,    0, TS
WP, 18, 2000081912,   , BEST,   0, 151N, 1346E,  55,    0, TS
WP, 18, 2000081918,   , BEST,   0, 159N, 1335E,  65,    0, TY
WP, 18, 2000082000,   , BEST,   0, 163N, 1326E,  75,    0, TY
WP, 18, 2000082006,   , BEST,   0, 168N, 1317E,  75,    0, TY
WP, 18, 2000082012,   , BEST,   0, 175N, 1307E,  90,    0, TY
WP, 18, 2000082018,   , BEST,   0, 181N, 1295E, 105,    0, TY
WP, 18, 2000082100,   , BEST,   0, 187N, 1283E, 115,    0, TY
WP, 18, 2000082106,   , BEST,   0, 192N, 1272E, 125,    0, ST
WP, 18, 2000082112,   , BEST,   0, 197N, 1261E, 135,    0, ST
WP, 18, 2000082118,   , BEST,   0, 203N, 1250E, 140,    0, ST
WP, 18, 2000082200,   , BEST,   0, 208N, 1240E, 140,    0, ST
WP, 18, 2000082206,   , BEST,   0, 215N, 1229E, 140,    0, ST
WP, 18, 2000082212,   , BEST,   0, 225N, 1219E, 140,    0, ST
WP, 18, 2000082218,   , BEST,   0, 238N, 1207E, 130,    0, ST
WP, 18, 2000082300,   , BEST,   0, 243N, 1188E, 120,    0, TY
WP, 18, 2000082306,   , BEST,   0, 250N, 1179E,  90,    0, TY
WP, 18, 2000082312,   , BEST,   0, 252N, 1169E,  65,    0, TY
WP, 18, 2000082318,   , BEST,   0, 253N, 1163E,  45,    0, TS
WP, 18, 2000082400,   , BEST,   0, 257N, 1160E,  35,    0, TS
WP, 18, 2000082406,   , BEST,   0, 265N, 1160E,  30,    0, TD
