WP, 24, 2000090518,   , BEST,   0, 207N, 1358E,  25,    0, TD
WP, 24, 2000090600,   , BEST,   0, 210N, 1360E,  25,    0, TD
WP, 24, 2000090606,   , BEST,   0, 214N, 1361E,  25,    0, TD
WP, 24, 2000090612,   , BEST,   0, 220N, 1361E,  30,    0, TD
WP, 24, 2000090618,   , BEST,   0, 225N, 1358E,  30,    0, TD
WP, 24, 2000090700,   , BEST,   0, 230N, 1352E,  35,    0, TS
WP, 24, 2000090706,   , BEST,   0, 235N, 1343E,  35,    0, TS
WP, 24, 2000090712,   , BEST,   0, 241N, 1329E,  35,    0, TS
WP, 24, 2000090718,   , BEST,   0, 246N, 1313E,  45,    0, TS
WP, 24, 2000090800,   , BEST,   0, 251N, 1296E,  50,    0, TS
WP, 24, 2000090806,   , BEST,   0, 255N, 1283E,  55,    0, TS
WP, 24, 2000090812,   , BEST,   0, 258N, 1270E,  55,    0, TS
WP, 24, 2000090818,   , BEST,   0, 258N, 1259E,  55,    0, TS
WP, 24, 2000090900,   , BEST,   0, 255N, 1252E,  50,    0, TS
WP, 24, 2000090906,   , BEST,   0, 250N, 1247E,  45,    0, TS
WP, 24, 2000090912,   , BEST,   0, 244N, 1241E,  45,    0, TS
WP, 24, 2000090918,   , BEST,   0, 235N, 1233E,  45,    0, TS
WP, 24, 2000091000,   , BEST,   0, 224N, 1227E,  45,    0, TS
WP, 24, 2000091006,   , BEST,   0, 215N, 1223E,  50,    0, TS
WP, 24, 2000091012,   , BEST,   0, 204N, 1220E,  55,    0, TS
WP, 24, 2000091018,   , BEST,   0, 194N, 1219E,  50,    0, TS
WP, 24, 2000091100,   , BEST,   0, 186N, 1219E,  45,    0, TS
WP, 24, 2000091106,   , BEST,   0, 179N, 1220E,  40,    0, TS
WP, 24, 2000091112,   , BEST,   0, 171N, 1223E,  30,    0, TD
WP, 24, 2000091118,   , BEST,   0, 167N, 1233E,  30,    0, TD
WP, 24, 2000091200,   , BEST,   0, 163N, 1243E,  20,    0, TD
