WP, 18, 2005091900,   , BEST,   0, 199N, 1559E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
WP, 18, 2005091906,   , BEST,   0, 202N, 1550E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
WP, 18, 2005091912,   , BEST,   0, 205N, 1541E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
WP, 18, 2005091918,   , BEST,   0, 206N, 1533E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
WP, 18, 2005092000,   , BEST,   0, 209N, 1528E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 
WP, 18, 2005092006,   , BEST,   0, 213N, 1522E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 1008,  250,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, D, 
WP, 18, 2005092012,   , BEST,   0, 216N, 1517E,  25, 1002, DB,   0,    ,    0,    0,    0,    0, 1008,  250,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, D, 
WP, 18, 2005092018,   , BEST,   0, 219N, 1511E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  250,  40,   0,   0,   W,   0,    ,   0,   0,     NONAME, M, 
WP, 18, 2005092100,   , BEST,   0, 224N, 1505E,  35,  997, TS,   0,    ,    0,    0,    0,    0, 1005,  260,  40,   0,   0,   W,   0,    ,   0,   0,      SAOLA, M, 
WP, 18, 2005092106,   , BEST,   0, 229N, 1497E,  40,  994, TS,  34, NEQ,   30,   30,   30,   30, 1006,  270,  30,   0,   0,   W,   0,    ,   0,   0,      SAOLA, M, 
WP, 18, 2005092112,   , BEST,   0, 235N, 1486E,  55,  984, TS,  34, NEQ,   45,   45,   45,   45, 1006,  270,  30,   0,   0,   W,   0,    ,   0,   0,      SAOLA, M, 
WP, 18, 2005092112,   , BEST,   0, 235N, 1486E,  55,  984, TS,  50, NEQ,   10,   10,   10,   10, 1006,  270,  30,   0,   0,   W,   0,    ,   0,   0,      SAOLA, M, 
WP, 18, 2005092118,   , BEST,   0, 241N, 1474E,  60,  980, TS,  34, NEQ,   50,   50,   50,   50, 1004,   75,  10,   0,   0,   W,   0,    ,   0,   0,      SAOLA, M, 
WP, 18, 2005092118,   , BEST,   0, 241N, 1474E,  60,  980, TS,  50, NEQ,   15,   15,   15,   15, 1004,   75,  10,   0,   0,   W,   0,    ,   0,   0,      SAOLA, M, 
WP, 18, 2005092200,   , BEST,   0, 246N, 1459E,  65,  976, TY,  34, NEQ,   85,   80,   85,   85, 1004,  220,  10,   0,   0,   W,   0,    ,   0,   0,      SAOLA, M, 
WP, 18, 2005092200,   , BEST,   0, 246N, 1459E,  65,  976, TY,  50, NEQ,   25,   25,   25,   25, 1004,  220,  10,   0,   0,   W,   0,    ,   0,   0,      SAOLA, M, 
WP, 18, 2005092200,   , BEST,   0, 246N, 1459E,  65,  976, TY,  64, NEQ,   15,   15,   15,   15, 1004,  220,  10,   0,   0,   W,   0,    ,   0,   0,      SAOLA, M, 
