WP, 13, 2008081600,   , BEST,   0, 132N, 1468E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
WP, 13, 2008081606,   , BEST,   0, 132N, 1452E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
WP, 13, 2008081612,   , BEST,   0, 136N, 1435E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
WP, 13, 2008081618,   , BEST,   0, 142N, 1419E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1011,  130,  15,   0,   0,   W,   0,    ,   0,   0,     INVEST, D, 
WP, 13, 2008081700,   , BEST,   0, 148N, 1402E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1011,  130,  15,   0,   0,   W,   0,    ,   0,   0,     INVEST, D, 
WP, 13, 2008081706,   , BEST,   0, 160N, 1384E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1010,  160,  30,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 13, 2008081712,   , BEST,   0, 161N, 1367E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1010,  170,  30,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 13, 2008081718,   , BEST,   0, 160N, 1350E,  40,  993, TS,  34, NEQ,   35,   35,   35,   35, 1010,  170,  30,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 13, 2008081800,   , BEST,   0, 159N, 1334E,  50,  985, TS,  34, NEQ,   50,   50,   50,   50, 1009,  160,  30,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 13, 2008081800,   , BEST,   0, 159N, 1334E,  50,  985, TS,  50, NEQ,   20,   20,   20,   20, 1009,  160,  30,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 13, 2008081806,   , BEST,   0, 161N, 1314E,  55,  982, TS,  34, NEQ,   50,   50,   50,   50, 1009,  210,  20,   0,   0,   W,   0,    ,   0,   0,       NURI, M, 
WP, 13, 2008081806,   , BEST,   0, 161N, 1314E,  55,  982, TS,  50, NEQ,   20,   20,   20,   20, 1009,  210,  20,   0,   0,   W,   0,    ,   0,   0,       NURI, M, 
WP, 13, 2008081812,   , BEST,   0, 165N, 1298E,  65,  974, TY,  34, NEQ,   55,   50,   50,   55, 1009,   82,  20,   0,   0,   W,   0,    ,   0,   0,       NURI, M, 
WP, 13, 2008081812,   , BEST,   0, 165N, 1298E,  65,  974, TY,  50, NEQ,   25,   20,   20,   25, 1009,   82,  20,   0,   0,   W,   0,    ,   0,   0,       NURI, M, 
WP, 13, 2008081818,   , BEST,   0, 169N, 1283E,  70,  970, TY,  34, NEQ,   65,   60,   60,   65, 1008,  180,  15,   0,   0,   W,   0,    ,   0,   0,       NURI, D, 
