WP, 09, 1988080706,   , BEST,   0, 282N, 1670E,  25
WP, 09, 1988080712,   , BEST,   0, 283N, 1661E,  30
WP, 09, 1988080718,   , BEST,   0, 284N, 1653E,  30
WP, 09, 1988080800,   , BEST,   0, 284N, 1647E,  30
WP, 09, 1988080806,   , BEST,   0, 285N, 1642E,  30
WP, 09, 1988080812,   , BEST,   0, 287N, 1638E,  30
WP, 09, 1988080818,   , BEST,   0, 288N, 1637E,  30
WP, 09, 1988080900,   , BEST,   0, 288N, 1637E,  30
WP, 09, 1988080906,   , BEST,   0, 287N, 1636E,  30
WP, 09, 1988080912,   , BEST,   0, 285N, 1632E,  30
WP, 09, 1988080918,   , BEST,   0, 284N, 1623E,  30
WP, 09, 1988081000,   , BEST,   0, 284N, 1614E,  30
WP, 09, 1988081006,   , BEST,   0, 286N, 1607E,  35
WP, 09, 1988081012,   , BEST,   0, 287N, 1602E,  35
WP, 09, 1988081018,   , BEST,   0, 287N, 1601E,  40
WP, 09, 1988081100,   , BEST,   0, 285N, 1603E,  45
WP, 09, 1988081106,   , BEST,   0, 284N, 1605E,  45
WP, 09, 1988081112,   , BEST,   0, 285N, 1605E,  35
WP, 09, 1988081118,   , BEST,   0, 289N, 1606E,  35
WP, 09, 1988081200,   , BEST,   0, 295N, 1609E,  35
WP, 09, 1988081206,   , BEST,   0, 303N, 1613E,  35
