WP, 04, 1993041506,   , BEST,   0,  64N, 1647E,  15
WP, 04, 1993041512,   , BEST,   0,  65N, 1642E,  15
WP, 04, 1993041518,   , BEST,   0,  66N, 1637E,  15
WP, 04, 1993041600,   , BEST,   0,  67N, 1632E,  15
WP, 04, 1993041606,   , BEST,   0,  68N, 1627E,  15
WP, 04, 1993041612,   , BEST,   0,  69N, 1622E,  15
WP, 04, 1993041618,   , BEST,   0,  70N, 1617E,  15
WP, 04, 1993041700,   , BEST,   0,  70N, 1612E,  15
WP, 04, 1993041706,   , BEST,   0,  70N, 1606E,  15
WP, 04, 1993041712,   , BEST,   0,  71N, 1600E,  20
WP, 04, 1993041718,   , BEST,   0,  71N, 1594E,  20
WP, 04, 1993041800,   , BEST,   0,  71N, 1588E,  20
WP, 04, 1993041806,   , BEST,   0,  72N, 1582E,  20
WP, 04, 1993041812,   , BEST,   0,  75N, 1576E,  20
WP, 04, 1993041818,   , BEST,   0,  79N, 1569E,  20
WP, 04, 1993041900,   , BEST,   0,  85N, 1563E,  25
WP, 04, 1993041906,   , BEST,   0,  91N, 1557E,  25
WP, 04, 1993041912,   , BEST,   0,  97N, 1550E,  25
WP, 04, 1993041918,   , BEST,   0,  99N, 1542E,  25
WP, 04, 1993042000,   , BEST,   0,  99N, 1533E,  25
WP, 04, 1993042006,   , BEST,   0,  98N, 1523E,  25
WP, 04, 1993042012,   , BEST,   0,  96N, 1513E,  25
WP, 04, 1993042018,   , BEST,   0,  91N, 1504E,  25
WP, 04, 1993042100,   , BEST,   0,  85N, 1497E,  25
WP, 04, 1993042106,   , BEST,   0,  80N, 1490E,  25
WP, 04, 1993042112,   , BEST,   0,  75N, 1484E,  25
WP, 04, 1993042118,   , BEST,   0,  72N, 1477E,  25
WP, 04, 1993042200,   , BEST,   0,  69N, 1469E,  25
WP, 04, 1993042206,   , BEST,   0,  66N, 1460E,  25
WP, 04, 1993042212,   , BEST,   0,  63N, 1452E,  30
WP, 04, 1993042218,   , BEST,   0,  61N, 1443E,  30
WP, 04, 1993042300,   , BEST,   0,  59N, 1433E,  30
WP, 04, 1993042306,   , BEST,   0,  58N, 1423E,  30
WP, 04, 1993042312,   , BEST,   0,  57N, 1413E,  30
WP, 04, 1993042318,   , BEST,   0,  57N, 1403E,  30
WP, 04, 1993042400,   , BEST,   0,  59N, 1394E,  30
WP, 04, 1993042406,   , BEST,   0,  62N, 1386E,  30
WP, 04, 1993042412,   , BEST,   0,  65N, 1377E,  30
WP, 04, 1993042418,   , BEST,   0,  68N, 1368E,  30
WP, 04, 1993042500,   , BEST,   0,  69N, 1358E,  30
WP, 04, 1993042506,   , BEST,   0,  70N, 1348E,  30
WP, 04, 1993042512,   , BEST,   0,  70N, 1340E,  30
WP, 04, 1993042518,   , BEST,   0,  70N, 1332E,  25
WP, 04, 1993042600,   , BEST,   0,  70N, 1325E,  25
WP, 04, 1993042606,   , BEST,   0,  70N, 1318E,  25
WP, 04, 1993042612,   , BEST,   0,  70N, 1311E,  25
WP, 04, 1993042618,   , BEST,   0,  70N, 1304E,  25
WP, 04, 1993042700,   , BEST,   0,  70N, 1295E,  25
WP, 04, 1993042706,   , BEST,   0,  69N, 1286E,  25
WP, 04, 1993042712,   , BEST,   0,  67N, 1278E,  20
WP, 04, 1993042718,   , BEST,   0,  66N, 1270E,  20
WP, 04, 1993042718,   , BEST,   0,  66N, 1270E,  20
WP, 04, 1993042800,   , BEST,   0,  65N, 1261E,  20
WP, 04, 1993042806,   , BEST,   0,  65N, 1252E,  20
WP, 04, 1993042812,   , BEST,   0,  65N, 1242E,  15
WP, 04, 1993042818,   , BEST,   0,  65N, 1232E,  15
