WP, 12, 2000072612,   , BEST,   0,  64N, 1780W,  20,    0, TD
WP, 12, 2000072618,   , BEST,   0,  69N, 1782W,  25,    0, TD
WP, 12, 2000072700,   , BEST,   0,  75N, 1786W,  25,    0, TD
WP, 12, 2000072706,   , BEST,   0,  80N, 1798W,  20,    0, TD
WP, 12, 2000072712,   , BEST,   0,  84N, 1790E,  20,    0, TD
WP, 12, 2000072718,   , BEST,   0,  87N, 1780E,  20,    0, TD
WP, 12, 2000072800,   , BEST,   0,  92N, 1771E,  25,    0, TD
WP, 12, 2000072806,   , BEST,   0,  98N, 1764E,  25,    0, TD
WP, 12, 2000072812,   , BEST,   0, 106N, 1761E,  30,    0, TD
WP, 12, 2000072818,   , BEST,   0, 114N, 1761E,  35,    0, TS
WP, 12, 2000072900,   , BEST,   0, 122N, 1760E,  40,    0, TS
WP, 12, 2000072906,   , BEST,   0, 130N, 1758E,  40,    0, TS
WP, 12, 2000072912,   , BEST,   0, 137N, 1757E,  35,    0, TS
WP, 12, 2000072918,   , BEST,   0, 143N, 1756E,  25,    0, TD
