WP, 20, 2000082400,   , BEST,   0,  78N, 1379E,  25,    0, TD
WP, 20, 2000082406,   , BEST,   0,  89N, 1378E,  20,    0, TD
WP, 20, 2000082412,   , BEST,   0,  96N, 1367E,  20,    0, TD
WP, 20, 2000082418,   , BEST,   0, 106N, 1351E,  25,    0, TD
WP, 20, 2000082500,   , BEST,   0, 116N, 1331E,  25,    0, TD
WP, 20, 2000082506,   , BEST,   0, 124N, 1315E,  25,    0, TD
WP, 20, 2000082512,   , BEST,   0, 131N, 1310E,  25,    0, TD
WP, 20, 2000082518,   , BEST,   0, 140N, 1312E,  25,    0, TD
WP, 20, 2000082600,   , BEST,   0, 148N, 1314E,  25,    0, TD
WP, 20, 2000082606,   , BEST,   0, 163N, 1317E,  30,    0, TD
WP, 20, 2000082612,   , BEST,   0, 181N, 1317E,  30,    0, TD
WP, 20, 2000082618,   , BEST,   0, 198N, 1313E,  35,    0, TS
WP, 20, 2000082700,   , BEST,   0, 211N, 1307E,  35,    0, TS
WP, 20, 2000082706,   , BEST,   0, 219N, 1299E,  35,    0, TS
WP, 20, 2000082712,   , BEST,   0, 223N, 1292E,  35,    0, TS
WP, 20, 2000082718,   , BEST,   0, 226N, 1284E,  35,    0, TS
WP, 20, 2000082800,   , BEST,   0, 229N, 1276E,  35,    0, TS
WP, 20, 2000082806,   , BEST,   0, 232N, 1269E,  35,    0, TS
WP, 20, 2000082812,   , BEST,   0, 233N, 1264E,  35,    0, TS
WP, 20, 2000082818,   , BEST,   0, 236N, 1259E,  45,    0, TS
WP, 20, 2000082900,   , BEST,   0, 240N, 1255E,  55,    0, TS
WP, 20, 2000082906,   , BEST,   0, 245N, 1251E,  55,    0, TS
WP, 20, 2000082912,   , BEST,   0, 252N, 1245E,  55,    0, TS
WP, 20, 2000082918,   , BEST,   0, 260N, 1241E,  65,    0, TY
WP, 20, 2000083000,   , BEST,   0, 269N, 1237E,  70,    0, TY
WP, 20, 2000083006,   , BEST,   0, 286N, 1233E,  75,    0, TY
WP, 20, 2000083012,   , BEST,   0, 299N, 1233E,  75,    0, TY
WP, 20, 2000083018,   , BEST,   0, 317N, 1234E,  75,    0, TY
WP, 20, 2000083100,   , BEST,   0, 336N, 1238E,  70,    0, TY
WP, 20, 2000083106,   , BEST,   0, 352N, 1240E,  70,    0, TY
WP, 20, 2000083112,   , BEST,   0, 372N, 1251E,  65,    0, TY
WP, 20, 2000083118,   , BEST,   0, 396N, 1271E,  45,    0, TS
WP, 20, 2000090100,   , BEST,   0, 414N, 1290E,  40,    0, TS
WP, 20, 2000090106,   , BEST,   0, 426N, 1317E,  35,    0, TS
WP, 20, 2000090112,   , BEST,   0, 437N, 1349E,  30,    0, TD
