WP, 29, 2000102100,   , BEST,   0, 197N, 1456E,  20,    0, TD
WP, 29, 2000102106,   , BEST,   0, 201N, 1440E,  20,    0, TD
WP, 29, 2000102112,   , BEST,   0, 207N, 1419E,  25,    0, TD
WP, 29, 2000102118,   , BEST,   0, 210N, 1401E,  30,    0, TD
WP, 29, 2000102200,   , BEST,   0, 210N, 1386E,  35,    0, TS
WP, 29, 2000102206,   , BEST,   0, 213N, 1371E,  35,    0, TS
WP, 29, 2000102212,   , BEST,   0, 215N, 1356E,  35,    0, TS
WP, 29, 2000102218,   , BEST,   0, 218N, 1341E,  40,    0, TS
WP, 29, 2000102300,   , BEST,   0, 221N, 1327E,  45,    0, TS
WP, 29, 2000102306,   , BEST,   0, 224N, 1312E,  45,    0, TS
WP, 29, 2000102312,   , BEST,   0, 226N, 1302E,  55,    0, TS
WP, 29, 2000102318,   , BEST,   0, 228N, 1292E,  60,    0, TS
WP, 29, 2000102400,   , BEST,   0, 230N, 1282E,  65,    0, TY
WP, 29, 2000102406,   , BEST,   0, 234N, 1272E,  70,    0, TY
WP, 29, 2000102412,   , BEST,   0, 237N, 1263E,  95,    0, TY
WP, 29, 2000102418,   , BEST,   0, 241N, 1255E, 105,    0, TY
WP, 29, 2000102500,   , BEST,   0, 246N, 1249E, 105,    0, TY
WP, 29, 2000102506,   , BEST,   0, 251N, 1246E,  90,    0, TY
WP, 29, 2000102512,   , BEST,   0, 256N, 1244E,  85,    0, TY
WP, 29, 2000102518,   , BEST,   0, 260N, 1246E,  80,    0, TY
WP, 29, 2000102600,   , BEST,   0, 263N, 1252E,  75,    0, TY
WP, 29, 2000102606,   , BEST,   0, 265N, 1258E,  65,    0, TY
WP, 29, 2000102612,   , BEST,   0, 265N, 1265E,  60,    0, TS
WP, 29, 2000102618,   , BEST,   0, 262N, 1267E,  55,    0, TS
WP, 29, 2000102700,   , BEST,   0, 258N, 1266E,  45,    0, TS
WP, 29, 2000102706,   , BEST,   0, 252N, 1262E,  35,    0, TS
WP, 29, 2000102712,   , BEST,   0, 250N, 1257E,  30,    0, TD
WP, 29, 2000102718,   , BEST,   0, 249N, 1247E,  25,    0, TD
WP, 29, 2000102800,   , BEST,   0, 249N, 1239E,  25,    0, TD
WP, 29, 2000102806,   , BEST,   0, 252N, 1232E,  20,    0, TD
