WP, 19, 2005092500,   , BEST,   0, 187N, 1461E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
WP, 19, 2005092506,   , BEST,   0, 191N, 1455E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 1007,  160,  15,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 19, 2005092512,   , BEST,   0, 192N, 1448E,  20, 1003, DB,   0,    ,    0,    0,    0,    0, 1007,  170,  15,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 19, 2005092518,   , BEST,   0, 194N, 1441E,  30, 1000, DB,   0,    ,    0,    0,    0,    0, 1005,  130,  15,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 19, 2005092600,   , BEST,   0, 196N, 1434E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  130,  15,   0,   0,   W,   0,    ,   0,   0,     NONAME, S, 
WP, 19, 2005092606,   , BEST,   0, 201N, 1428E,  35,  997, TS,   0,    ,    0,    0,    0,    0, 1005,  130,  15,   0,   0,   W,   0,    ,   0,   0,   LONGWANG, S, 
WP, 19, 2005092612,   , BEST,   0, 205N, 1422E,  45,  991, TS,  34, NEQ,   60,   45,   50,   45, 1004,  140,  20,   0,   0,   W,   0,    ,   0,   0,   LONGWANG, M, 
WP, 19, 2005092618,   , BEST,   0, 209N, 1416E,  60,  980, TS,  34, NEQ,   80,   65,   65,   65, 1006,  150,  10,   0,   0,   W,   0,    ,   0,   0,   LONGWANG, M, 
WP, 19, 2005092618,   , BEST,   0, 209N, 1416E,  60,  980, TS,  50, NEQ,   10,   10,   10,   10, 1006,  150,  10,   0,   0,   W,   0,    ,   0,   0,   LONGWANG, M, 
WP, 19, 2005092700,   , BEST,   0, 214N, 1410E,  70,  972, TY,  34, NEQ,  100,   75,   80,   90, 1006,  160,   5,   0,   5,   W,   0,    ,   0,   0,   LONGWANG, M, 
WP, 19, 2005092700,   , BEST,   0, 214N, 1410E,  70,  972, TY,  50, NEQ,   20,   25,   25,   20, 1006,  160,   5,   0,   5,   W,   0,    ,   0,   0,   LONGWANG, M, 
WP, 19, 2005092700,   , BEST,   0, 214N, 1410E,  70,  972, TY,  64, NEQ,   10,   10,   10,   10, 1006,  160,   5,   0,   5,   W,   0,    ,   0,   0,   LONGWANG, M, 
WP, 19, 2005092706,   , BEST,   0, 217N, 1401E,  85,  958, TY,  34, NEQ,  100,   80,   80,  100, 1004,  170,   5,   0,   5,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092706,   , BEST,   0, 217N, 1401E,  85,  958, TY,  50, NEQ,   25,   20,   20,   25, 1004,  170,   5,   0,   5,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092706,   , BEST,   0, 217N, 1401E,  85,  958, TY,  64, NEQ,   15,   15,   15,   15, 1004,  170,   5,   0,   5,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092712,   , BEST,   0, 219N, 1392E,  90,  954, TY,  34, NEQ,   90,   75,   75,  110, 1004,  170,   5,   0,   0,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092712,   , BEST,   0, 219N, 1392E,  90,  954, TY,  50, NEQ,   25,   20,   20,   25, 1004,  170,   5,   0,   0,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092712,   , BEST,   0, 219N, 1392E,  90,  954, TY,  64, NEQ,   15,   15,   15,   15, 1004,  170,   5,   0,   0,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092718,   , BEST,   0, 221N, 1383E, 100,  944, TY,  34, NEQ,   95,  110,  105,   85, 1004,  170,   5,   0,  10,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092718,   , BEST,   0, 221N, 1383E, 100,  944, TY,  50, NEQ,   25,   35,   30,   25, 1004,  170,   5,   0,  10,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092718,   , BEST,   0, 221N, 1383E, 100,  944, TY,  64, NEQ,   15,   20,   20,   15, 1004,  170,   5,   0,  10,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092800,   , BEST,   0, 223N, 1375E, 110,  933, TY,  34, NEQ,  110,  110,   95,  105, 1005,  190,  10,   0,  15,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092800,   , BEST,   0, 223N, 1375E, 110,  933, TY,  50, NEQ,   35,   35,   25,   30, 1005,  190,  10,   0,  15,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092800,   , BEST,   0, 223N, 1375E, 110,  933, TY,  64, NEQ,   25,   25,   15,   20, 1005,  190,  10,   0,  15,   W,   0,    ,   0,   0,   LONGWANG, D, 
WP, 19, 2005092806,   , BEST,   0, 225N, 1367E, 120,  922, TY,  34, NEQ,  110,  110,   95,  105, 1004,  190,   5,   0,  10,   W,   0,    ,   0,   0,   LONGWANG, D, 
