WP, 24, 2007112000,   , BEST,   0, 116N, 1383E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  200,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 24, 2007112006,   , BEST,   0, 123N, 1376E,  30, 1000, DB,   0,    ,    0,    0,    0,    0, 1008,  200,  45,   0,   0,   W,   0,    ,   0,   0,     NONAME, M, 
WP, 24, 2007112012,   , BEST,   0, 130N, 1363E,  30, 1000, DB,   0,    ,    0,    0,    0,    0, 1008,  200,  45,   0,   0,   W,   0,    ,   0,   0,     NONAME, M, 
WP, 24, 2007112018,   , BEST,   0, 137N, 1347E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1008,  205,  45,  45,   0,   W,   0,    ,   0,   0,      MITAG, M, 
WP, 24, 2007112100,   , BEST,   0, 140N, 1338E,  40,  993, TS,  34, NEQ,   55,   40,   35,   55, 1008,  205,  25,   0,   0,   W,   0,    ,   0,   0,      MITAG, M, 
WP, 24, 2007112106,   , BEST,   0, 142N, 1326E,  45,  989, TS,  34, NEQ,   55,   40,   40,   55, 1008,  205,  25,   0,   0,   W,   0,    ,   0,   0,      MITAG, M, 
WP, 24, 2007112112,   , BEST,   0, 143N, 1316E,  60,  978, TS,  34, NEQ,   65,   55,   55,   65, 1008,  205,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
WP, 24, 2007112112,   , BEST,   0, 143N, 1316E,  60,  978, TS,  50, NEQ,   30,   25,   25,   30, 1008,  205,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
WP, 24, 2007112118,   , BEST,   0, 144N, 1305E,  65,  974, TY,  34, NEQ,   65,   55,   55,   65, 1008,  205,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
WP, 24, 2007112118,   , BEST,   0, 144N, 1305E,  65,  974, TY,  50, NEQ,   30,   25,   25,   30, 1008,  205,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
WP, 24, 2007112200,   , BEST,   0, 145N, 1294E,  70,  970, TY,  34, NEQ,   65,   55,   55,   65, 1008,  205,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
WP, 24, 2007112200,   , BEST,   0, 145N, 1294E,  70,  970, TY,  50, NEQ,   30,   25,   25,   30, 1008,  205,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
WP, 24, 2007112200,   , BEST,   0, 145N, 1294E,  70,  970, TY,  64, NEQ,   15,   15,   15,   15, 1008,  205,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
WP, 24, 2007112206,   , BEST,   0, 142N, 1285E,  80,  963, TY,  34, NEQ,   85,   75,   75,   90, 1006,  210,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
WP, 24, 2007112206,   , BEST,   0, 142N, 1285E,  80,  963, TY,  50, NEQ,   40,   40,   40,   40, 1006,  210,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
WP, 24, 2007112206,   , BEST,   0, 142N, 1285E,  80,  963, TY,  64, NEQ,   25,   25,   25,   25, 1006,  210,  15,   0,   0,   W,   0,    ,   0,   0,      MITAG, D, 
