WP, 20, 2011092300,   , BEST,   0, 130N, 1395E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
WP, 20, 2011092306,   , BEST,   0, 132N, 1388E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  170,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 20, 2011092312,   , BEST,   0, 137N, 1381E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  45,   0,   0,   W,   0,    ,   0,   0,     TWENTY, S, 
WP, 20, 2011092318,   , BEST,   0, 139N, 1373E,  35,  996, TS,  34, NEQ,   50,   50,   50,   50, 1006,  220,  40,   0,   0,   W,   0,    ,   0,   0,     TWENTY, M, 
WP, 20, 2011092400,   , BEST,   0, 143N, 1363E,  40,  993, TS,  34, NEQ,   50,   50,   50,   50, 1006,  220,  40,   0,   0,   W,   0,    ,   0,   0,     TWENTY, M, 
WP, 20, 2011092406,   , BEST,   0, 150N, 1351E,  45,  989, TS,  34, NEQ,   50,   50,   50,   50, 1006,  210,  40,   0,   0,   W,   0,    ,   0,   0,      NESAT, M, 
WP, 20, 2011092412,   , BEST,   0, 150N, 1334E,  50,  985, TS,  34, NEQ,   60,   50,   50,   60, 1006,  210,  40,   0,   0,   W,   0,    ,   0,   0,      NESAT, M, 
WP, 20, 2011092418,   , BEST,   0, 147N, 1318E,  55,  982, TS,  34, NEQ,   70,   60,   60,   80, 1007,  240,  10,   0,   0,   W,   0,    ,   0,   0,      NESAT, M, 
WP, 20, 2011092418,   , BEST,   0, 147N, 1318E,  55,  982, TS,  50, NEQ,   20,   20,   20,   20, 1007,  240,  10,   0,   0,   W,   0,    ,   0,   0,      NESAT, M, 
WP, 20, 2011092500,   , BEST,   0, 146N, 1304E,  60,  978, TS,  34, NEQ,   70,   60,   60,   80, 1006,  250,  15,   0,   0,   W,   0,    ,   0,   0,      NESAT, D, 
WP, 20, 2011092500,   , BEST,   0, 146N, 1304E,  60,  978, TS,  50, NEQ,   25,   25,   25,   25, 1006,  250,  15,   0,   0,   W,   0,    ,   0,   0,      NESAT, D, 
WP, 20, 2011092506,   , BEST,   0, 146N, 1292E,  65,  974, TY,  34, NEQ,   75,   65,   65,   75, 1006,  260,  15,   0,   0,   W,   0,    ,   0,   0,      NESAT, D, 
WP, 20, 2011092506,   , BEST,   0, 146N, 1292E,  65,  974, TY,  50, NEQ,   35,   30,   30,   35, 1006,  260,  15,   0,   0,   W,   0,    ,   0,   0,      NESAT, D, 
WP, 20, 2011092506,   , BEST,   0, 146N, 1292E,  65,  974, TY,  64, NEQ,   20,   20,   20,   20, 1006,  260,  15,   0,   0,   W,   0,    ,   0,   0,      NESAT, D, 
WP, 20, 2011092512,   , BEST,   0, 147N, 1281E,  65,  974, TY,  34, NEQ,   75,   65,   65,   75, 1006,  260,  15,   0,   0,   W,   0,    ,   0,   0,      NESAT, D, 
WP, 20, 2011092512,   , BEST,   0, 147N, 1281E,  65,  974, TY,  50, NEQ,   40,   35,   35,   40, 1006,  260,  15,   0,   0,   W,   0,    ,   0,   0,      NESAT, D, 
WP, 20, 2011092512,   , BEST,   0, 147N, 1281E,  65,  974, TY,  64, NEQ,   20,   20,   20,   20, 1006,  260,  15,   0,   0,   W,   0,    ,   0,   0,      NESAT, D, 
WP, 20, 2011092518,   , BEST,   0, 148N, 1270E,  75,  967, TY,  34, NEQ,  150,  100,  100,  150, 1004,  270,  25,   0,   0,   W,   0,    ,   0,   0,      NESAT, D, 
